,names,link,research_field,subfaculty,faculty,link_CU,research_interest
0,Timothy Mason,https://scholar.google.co.uk/citations?hl=en&user=ywiPqccAAAAJ,"sonochemistry, ultrasound, chemistry, environment, food technology",,,,
1,Gurnam Singh,https://scholar.google.co.uk/citations?hl=en&user=A93LzQMAAAAJ,"social work, race and racism, critical pedagogy, neoliberalism, higher education",,,https://pureportal.coventry.ac.uk/en/persons/gurnam-singh-2,Research Interests: Emancipatory research and practice; decolonising pedagogy; anti-racist practice; race equality in higher education and social work; understanding and tackling hate. 
2,WD Li,https://scholar.google.co.uk/citations?hl=en&user=hZY-wA4AAAAJ,,,,,
3,Dr. Mohammad M Ali,https://scholar.google.co.uk/citations?hl=en&user=tI1RwOIAAAAJ,"Forecast Information Sharing, ARIMA Modelling, Supply Chain Management, Demand Planning and Forecasting",,,,
4,Petra Wark,https://scholar.google.co.uk/citations?hl=en&user=PdZZpBkAAAAJ,"m/eHealth, epidemiology, primary prevention, diet and lifestyle, validation",Faculty Research Centre for Intelligent Healthcare,Faculty of Health & Life Sciences,https://pureportal.coventry.ac.uk/en/persons/petra-wark,"Research Interests: Efficacy and effectiveness of digital health technologies in primary and secondary chronic disease prevention; and methodological aspects thereofValidation, evaluation and assessment of diet, lifestyle, wellbeing and health status using new digital technologies (including other aspects of health)Additional insight gained from the additional data that digital health technologies provide, how to make use of the new technologies and embed them in practiceNutritional and chronic disease epidemiologyInterdisciplinary and innovation research projects"
5,Kevin Warwick,https://scholar.google.co.uk/citations?hl=en&user=TfTyMZQAAAAJ,"Biomedical Engineering, Machine Intelligence, Bioethics, Cybernetics, Cyborgs",Faculty Research Centre for Data Science,"Faculty of Engineering, Environment & Computing",https://pureportal.coventry.ac.uk/en/persons/kevin-warwick,"Research Interests: Cyborgs; Control
; Robotics
; Biomedical systems 
; Artificial intelligence"
6,Sally Dibb,https://scholar.google.co.uk/citations?hl=en&user=GK_0st4AAAAJ,,Faculty Research Centre for Business in Society,Faculty of Business & Law,https://pureportal.coventry.ac.uk/en/persons/sally-dibb,"Vision Statement: 
My research in marketing strategy and consumer behaviour is underpinned by an interest in data.  I’m interested in how data can be used to change consumer and citizen behaviour, particularly in areas that can improve well-being. E.g. how can data help different stakeholders to work together to tackle bigger issues facing society, such as security, sustainability, and health? My research also examines how organisations capture and use data to achieve their objectives. E.g. what impact have Big Data and digitalisation had on how organisations make strategic decisions?  Recently my research has examined the privacy issues that exist between those producing data and those who consume it, examining the circumstances in which consumers are prepared to share their data and what benefits they expect in return."
7,Dr Andrew Oyen Arewa,https://scholar.google.co.uk/citations?hl=en&user=i8D4u8YAAAAJ,"Construction Management, Culture/Ethics in Construction and Cost Management in Construction / Infrastructure Projects",,,,
8,Gavin Brent Sullivan,https://scholar.google.co.uk/citations?hl=en&user=F9xtP-QAAAAJ,"Emotions, Collective Pride, Collective Emotion, Political Psychology, Disasters",,,,
9,Moya Kneafsey,https://scholar.google.co.uk/citations?hl=en&user=LdhLhI0AAAAJ,"food geographies, short food chains, local foods, community foods",,,https://pureportal.coventry.ac.uk/en/persons/moya-kneafsey,"Research Interests: Culture economies; Participatory research methods; Short food chains, local and community food initiatives; Reforming food systems to deliver sustainable, resilient and socially just development"
10,andy turner,https://scholar.google.co.uk/citations?hl=en&user=rr94cyYAAAAJ,Health psychology self-management,,,,
11,Prof. John Allen,https://scholar.google.co.uk/citations?hl=en&user=-GsW3HsAAAAJ,"photoplethysmography, pulse, capillaroscopy, microvascular, thermal imaging",,,,
12,Vasile Palade,https://scholar.google.co.uk/citations?hl=en&user=KTXoxysAAAAJ,"Machine Learning, Data Science",Faculty Research Centre for Data Science,"Faculty of Engineering, Environment & Computing",https://pureportal.coventry.ac.uk/en/persons/vasile-palade,Research Interests: Machine Learning and Applications; Deep learning; Image Processing
13,Richard Aspinall,https://scholar.google.co.uk/citations?hl=en&user=UB66hN4AAAAJ,"Age related changes in immunity, use of technolgy to determine health status","Faculty Research Centre for Sport, Exercise and Life Sciences",Faculty of Health & Life Sciences,https://pureportal.coventry.ac.uk/en/persons/richard-aspinall,None: None
14,Michel Pimbert,https://scholar.google.co.uk/citations?hl=en&user=vnyHhSoAAAAJ,"Food sovereignty, agroecology, environment, participatory democracy, transdisciplinary research",,,https://pureportal.coventry.ac.uk/en/persons/michel-pimbert,"Biography: 
Professor Michel Pimbert previously worked at the UK-based International Institute for Environment and Development (IIED), the International Crops Research Institute for the Semi Arid Tropics (ICRISAT) in India, the University François Rabelais de Tours in France, and the World Wide Fund for Nature in Switzerland. He has also done research for the UN Food and Agriculture Organisation (FAO), the United Nations Research Institute for Social Development (UNRISD), The World Conservation Union (IUCN). Professor Pimbert has been a Board member of several international organisations working on food sovereignty, sustainable agriculture, environment, and human rights. He has  worked in Asia, Europe, Latin America, and West Africa.
His research interests include: enabling policies and practices for agroecology and food sovereignty; the governance and adaptive management of biodiversity and natural resources; participatory action research methodologies; and deliberative democratic processes. Over the last 30 years he has published extensively in these areas, linking theory and practice to inform policy making on food, agriculture, environment, and human well being. He was recently nominated as member of the High Level Panel of Experts of the Committee on World Food Security of the UN Food and Agriculture Organisation (FAO).
"
15,Nick Henry,https://scholar.google.co.uk/citations?hl=en&user=RVGRUGgAAAAJ,,Faculty Research Centre for Business in Society,Faculty of Business & Law,https://pureportal.coventry.ac.uk/en/persons/nick-henry,"Biography:  
Professor Nick Henry returned to academe with Coventry University in 2013 and was subsequently promoted to Co-Director, Centre for Business in Society. This followed ten years as a public policy and evaluation consultant culminating in his position as Consulting Director, Economic Development and Economic Policy at ICF GHK. Nick is a trained economic geographer who began his career in the Geography Department of the Open University before lectureships at Southampton and Birmingham universities and a Readership in Urban and Regional Studies at CURDS, University of Newcastle-upon-Tyne, UK. From 2003-2007, he combined his Readership with consultancy before moving to full time policy consultancy and a Visiting Professorship at Newcastle. Nick has long run, substantial and wide-ranging experience of directing and managing research and consultancy projects on economic and social development for a range of mainly public clients from local to European levels. This interest is reflected further in his supervision of a number of CBiS postgraduate students: Victoria Barker, Ryan Bushell, Jonathan Gunson and Cristiana Pace.
Other positions:
Visiting Fellow, School of Management, Cranfield UniversityVisiting Fellow, School of Geography, Politics and Sociology, University of Newcastle-upon-TyneDirector, Creative United Community Investment CompanyEditor-in-Chief, European Urban and Regional Studies
 "
16,Michael Duncan,https://scholar.google.co.uk/citations?hl=en&user=UnaJjYIAAAAJ,"Physical activity, obesity, exercise, children, sports science","Faculty Research Centre for Sport, Exercise and Life Sciences",Faculty of Health & Life Sciences,https://pureportal.coventry.ac.uk/en/persons/michael-duncan,Research Interests: Obesity; Ergogenic Aids; Kinanthropometry; Physical Activity; Active Videogaming; Exercise Physiology; Strength and Conditioning; Motor Skills; Motor Competence
17,Olivier Sparagano,https://scholar.google.co.uk/citations?hl=en&user=3z7GhosAAAAJ,"animal and human health, Parasitology, Vector-borne diseases, Vaccine Development",,,,
18,Julia M Carroll,https://scholar.google.co.uk/citations?hl=en&user=UA1qV_sAAAAJ,"literacy, language acquisition",,,,
19,Michael Fitzpatrick,https://scholar.google.co.uk/citations?hl=en&user=FEH-R5wAAAAJ,Materials Engineering,Institute for Future Transport and Cities,"Faculty of Engineering, Environment & Computing",https://pureportal.coventry.ac.uk/en/persons/michael-fitzpatrick,"Vision Statement: My research centres around the application of advanced experimental methods to materials engineering applications, particularly in the nuclear power and aerospace industries. My group has a range of research projects assessing materials performance and structural integrity issues in collaboration with partners in industry and government research laboratories around the world, including Airbus, Arconic, and the US Air Force Research Laboratories. I am a partner in the International Joint Research Centre on Nuclear Safety funded by the Lloyd’s Register Foundation.
 "
20,Don Harris,https://scholar.google.co.uk/citations?hl=en&user=3Jad6WgAAAAJ,"Human Factors, Safety, Aviation, Automotive, Defence",,,,
21,Professor Damian Lawler,https://scholar.google.co.uk/citations?hl=en&user=Vo-5UbAAAAAJ,"River processes, Hydrology, Water Pollution, Climate Change",,,,
22,YingLiang Ma,https://scholar.google.co.uk/citations?hl=en&user=bRhevv8AAAAJ,"image processing, medical imaging, computer graphics",Faculty Research Centre for Data Science,"Faculty of Engineering, Environment & Computing",https://pureportal.coventry.ac.uk/en/persons/yingliang-ma,None: None
23,Prof Christopher A Reynolds,https://scholar.google.co.uk/citations?hl=en&user=8D92Hj0AAAAJ,"GPCRs, class B GPCRs, molecular modelling, polarization, drug design",,,,
24,Glauco De Vita,https://scholar.google.co.uk/citations?hl=en&user=BwAr0OMAAAAJ,Professor of International Business Economics,Faculty Research Centre for Business in Society,Faculty of Business & Law,https://pureportal.coventry.ac.uk/en/persons/glauco-de-vita,Research Interests: FDI; Growth; Exchange rates; International trade; Outsourcing/off-shoring; International education; International tourism flows; The macro environment and macroeconomic policy
25,James Yang,https://scholar.google.co.uk/citations?hl=en&user=qAnwKk4AAAAJ,"computational mechanics, fracture mechanics, concrete structures, composites, scaled boundary finite element",Faculty Research Centre for Built & Natural Environment,"Faculty of Engineering, Environment & Computing",https://pureportal.coventry.ac.uk/en/persons/james-yang,"Biography: I have 20 years of teaching and research experience in a few UK and overseas universities. I have secured over £1m research grants as the Principal Investigator from EPSRC, Royal Society and US Air Force etc since 2007, and has published over 150 peer-reviewed papers, including over 80 SCI-indexed high-impact journal papers (cited 2200+ times by SCI with H=30 and 3500+ by GoogleScholar with H=35(https://scholar.google.co.uk/citations?hl=en&user=qAnwKk4AAAAJ)). I have served on scientific/advisory committees of over 35 international conferences and delivered many keynote/plenary lectures. I am a member of EPSRC Peer Review College and have reviewed proposals for many EU national research councils. I have been invited as an external examiner for PhDs worldwide and have graduated (as the first supervisor) over 10 PhDs and supervised 3 postdoctoral researchers.
I am a Fellow of Institution of Structural Engineers UK (FIStructE) and a Chartered Engineer."
26,Richard Dashwood,https://scholar.google.co.uk/citations?hl=en&user=duXSiwIAAAAJ,,,,https://pureportal.coventry.ac.uk/en/persons/richard-dashwood,External positions: None
27,Hilary Nesi,https://scholar.google.co.uk/citations?hl=en&user=nx161xMAAAAJ,"English for Academic Purposes, Metalexicography, Corpus Linguistics","Faculty Research Centre for Arts, Memory and Communities",Faculty of Arts & Humanities,https://pureportal.coventry.ac.uk/en/persons/hilary-nesi,Research Interests: Language corpora; Academic writing; Academic speech events; Dictionary design and use; English for Specific Purposes; English for Academic Purposes
28,Jean-Claude Morel,https://scholar.google.co.uk/citations?hl=en&user=f_90WcQAAAAJ,,Faculty Research Centre for Built & Natural Environment,"Faculty of Engineering, Environment & Computing",https://pureportal.coventry.ac.uk/en/persons/jean-claude-morel,"Biography: 
Jean-Claude Morel studied at the University of Grenoble (PhD Soil Mechanics), France. He was researcher for the French Ministry of Sustainability at Ecole Nationale des Travaux Publics de l'Etat of Lyon from 1996 to 2015, before joining Coventry University as Professor Low Impact Buildings.  Jean-Claude’s current research interests in sustainable buildings include:
Earthen building: mechanical, hygrothermal and durability characteristics of earthen materials (stabilised or not) as adobe, rammed earth, compressed earth blocks, earth mortar.Energy in buildings and green buildings: embodied energy in basic construction materials and buildings; building with local soils as construction material; energy efficiency in building systems and green buildings.Drystone retaining walls (DSRW): 3D behaviour of DSRW, full scale experiments, limit equilibrium and yield design modelling of DSRW stability. Stone mechanical characteristics, friction and shear behaviour.
Jean-Claude has published 40 articles in peer reviewed international journals, and is co-writer of 7 books in French and English covering a range from design guidelines for architects and engineers to continuum mechanics modelling.  Currently, Jean-Claude is an Editorial Panel member for the ICE Journal “Engineering Sustainability” and reviewer for 30 peer-reviewed international journals.

Area of Expertise:

Mechanical behaviour of materials and masonry structures; hygrothermal behaviour of earth materials; sustainable building and renovation."
29,Xiang Zhang,https://scholar.google.co.uk/citations?hl=en&user=hGaFAEEAAAAJ,"Fatigue fracture, composites, metals, welded, additive manufactured",,,https://pureportal.coventry.ac.uk/en/persons/xiang-zhang,"Vision Statement: 
Structural Integrity is an important area in the design, certification, manufacture and operation of engineering products. Having focused mainly on the aerospace materials and structures, I’m ready to perform research also in the Energy and Automotive Sectors. My mission is to develop analysis models and design tools for safer and lighter structures. A step change can be made in the structural performance if we integrate the advanced materials and innovative manufacturing technologies with novel design solutions. It is also important to keep working on both the metallic and composite material fronts to respond to the industrial requirements."
30,Dr Kuo-Ming Chao,https://scholar.google.co.uk/citations?hl=en&user=p4sIu1IAAAAJ,"Service-Oriented computing, Agent, Big Data",,,,
31,Dobrila Petrovic,https://scholar.google.co.uk/citations?hl=en&user=PPS3x2AAAAAJ,"treating uncertainty using fuzzy sets, supply chains, production scheduling",,,https://pureportal.coventry.ac.uk/en/persons/dobrila-petrovic,"Vision Statement: I have been doing research which combines the Operational Research and Artificial Intelligence research areas. I have been developing new methods for uncertainty modelling, using fuzzy sets and fuzzy logic, and methods for optimisation in the presence of uncertainty and have applied them in various domains, such as supply chain management and control, scheduling and covering problems. In the future, I plan to develop an interdisciplinary, system-based framework for improving sustainability in supply chain performances in the presence of various risks and uncertainties. Multi-criteria optimization methods will be developed to handle three aspects of sustainability simultaneously including social, economic and environmental aspects.
Plan to do novel research in the cutting edge of combinations of data analytics and operational research. This research will involve development of

fuzzy evolving systems for modelling dynamic systems whose structure and parameters are changing over time using dynamically received data;

rule based fuzzy causal maps for modelling uncertain knowledge of causal relations among entities using fuzzy sets and type-2 fuzzy sets.

View Dobrila's expert directory profile."
32,Dr. Rob S. James,https://scholar.google.co.uk/citations?hl=en&user=Ctk4Vp4AAAAJ,"effects of temperature, body size, caffeine, variation between individuals or species on skeletal muscle mechanics and locomotor performance",,,,
33,Megan Crawford,https://scholar.google.co.uk/citations?hl=en&user=MtI6X_IAAAAJ,"Leadership, headteachers, emotion, policy, access",,,https://pureportal.coventry.ac.uk/en/persons/megan-crawford,"Biography: Originally a primary deputy, I moved into HE after completing my PG degree, and I have worked at several UK universities, including Warwick, Cambridge, UCL IOE, and the Open University. I moved into management and was Director of the Plymouth Institute of Education from 2014-2018. I have a focus on Postgraduate students, their wellbeing, and how part time students navigate doctorates.
In 2020, I was conferred the title of Fellow of the Academy of Social Sciences (FAcSS) in recognition of my contribution to the Social Sciences.
As well as the day job, I have been involved in school governance since the 1990s and have set up new schools, as well as currently being the Chair of a Multi Academy Trust. Since 2019 I have been a Fellow of the Chartered College of Teaching."
34,Katharina Dehnen-Schmutz,https://scholar.google.co.uk/citations?hl=en&user=66f90QQAAAAJ,"biological invasions, weed ecology and climate change, interdisciplinary ecological-economic research",,,https://pureportal.coventry.ac.uk/en/persons/katharina-dehnen-schmutz,"Research Interests: Ecology and environmental change
Biological invasions
Citizen science
Weed ecology"
35,Ivan Kourtchev,https://scholar.google.co.uk/citations?hl=en&user=zUKHaUMAAAAJ,"Ultra-high resolution Mass Spectrometry, Analytical chemistry, pollution tracers, Emerging pollutants, Physical Chemistry",,,https://pureportal.coventry.ac.uk/en/persons/ivan-kourtchev,Education/Academic qualification: None
36,Christopher J Mee,https://scholar.google.co.uk/citations?hl=en&user=F4Plhy4AAAAJ,"Cell Polarity, Tight Junctions, liver, HCV",,,,
37,Marcelo Negri Soares,https://scholar.google.co.uk/citations?hl=en&user=QX5zRlIAAAAJ,"Business & Law, Business, Law",,,,
38,Heaven Crawley,https://scholar.google.co.uk/citations?hl=en&user=azv5exkAAAAJ,"International migration, asylum and migration policy, gender and international refugee law, Refugee Status Determination, separa",,,https://pureportal.coventry.ac.uk/en/persons/heaven-crawley,"Vision Statement: My research is underpinned by concern about the inequalities with which international migration is often (but not always) associated: global, local and social inequalities that limit human potential and shape decisions to migrate; inequalities in opportunities to move safely, often linked to gender, ethnicity or age; inequalities in the opportunities to secure access to protection, work and rights; inequalities in the representation of concerns and interests around migration which often decontextualise migration from broader processes of social, political and economic change; inequalities in the construction of knowledge around migration processes and outcomes, in particular the marginalisation of migrants and scholars in the Global South in migration debates and policy analysis. I'm particularly interested in better understanding the relationships between migration and inequality in the context of the Global South and currently lead the UKRI GCRF South-South Migration, Inequality and Development Hub (MIDEQ). The Hub works with academics, practitioners and international organisations in 12 countries to decentre the production of knowledge about migration and its consequences away from the Global North towards those countries where most migration takes place, in turn building the capacity of Global South scholars to build an evidence base and shape the issues that directly affect them. More at www.mideq.org @MIDEQHub #MIDEQ"
39,Jose Martin Herreros,https://scholar.google.co.uk/citations?hl=en&user=qOCb86IAAAAJ,"Transportation, Alternative Energy Carriers, Advanced Propulsion, Emissions",,,,
40,"Yilmaz Guney, Professor of Finance",https://scholar.google.co.uk/citations?hl=en&user=PVXz_gEAAAAJ,"Corporate finance, corporate governance, international business",,,,
41,Charo I. del Genio,https://scholar.google.co.uk/citations?hl=en&user=735CZw4AAAAJ,"Complex networks, Complex systems, Statistical Physics, Computational Biology, Dynamical Systems",,,,
42,Om P Kurmi,https://scholar.google.co.uk/citations?hl=en&user=n9DBSCAAAAAJ,"Population health, Cardiorespiratory diseases, Respiratory Epidemiology, Environmental Epidemiology, Occupational health",,,,
43,Wendy Clyne,https://scholar.google.co.uk/citations?hl=en&user=9yzxd5gAAAAJ,health and social psychology,,,,
44,Ralph Kenna,https://scholar.google.co.uk/citations?hl=en&user=B_IufdEAAAAJ,Statistical Physics,Faculty Research Centre in Fluid and Complex Systems,"Faculty of Engineering, Environment & Computing",https://pureportal.coventry.ac.uk/en/persons/ralph-kenna,"Vision Statement: The single motivation for all of my research is curiosity. I constantly hope to achieve greater understanding of various complex systems, from the physical sciences to the sociological and the humanities.
 "
45,Sylvester Arnab,https://scholar.google.co.uk/citations?hl=en&user=TS0e4WkAAAAJ,"Serious Games, Gamification, Game Science, disruptive learning, Game-Based Learning",Disruptive Media Learning Lab,Faculty of Arts & Humanities,https://pureportal.coventry.ac.uk/en/persons/sylvester-arnab,"Research Interests: Game Science (gameful/playful design, serious games, game-based learning, gamification, game design thinking); Hybrid learning spaces; Technology-enhanced learning; Pervasive learning and technologies; Trans-disciplinary game-based intervention development; Multi-modal platforms (tactile, wearable, mobile, mixed-reality)"
46,Chitta Saha,https://scholar.google.co.uk/citations?hl=en&user=7hUuoogAAAAJ,"Energy harvesting, Thermo-acoustic, Electrical machine","School of Computing, Electronics and Maths","Faculty of Engineering, Environment & Computing",https://pureportal.coventry.ac.uk/en/persons/chitta-saha,"Research Interests:  My current research is involved in energy harvesting and its application areas, renewable energy, Thermo-acoustic technology and measurement and sensor technology. My Ph.D was on modelling and optimisation of an electromagnetic vibrational energy harvester and its electronic areas for wireless sensor applications funded by the EU Framework 6 project VIBES (http://www.vibes.ecs.soton.ac.uk/). During my PhD study, I developed the model of an electromagnetic (EM) vibrational generator and verified the model with the measured and simulated results. Also I successfully applied the model to optimise the device for machine monitoring applications (http://news.bbc.co.uk/1/hi/6272752.stm) and built the suitable voltage converter circuit for EM energy harvester device. I had been a research associate/fellow on a £2m multi-university EPSRC funded SCORE project (www.score.uk.com) at the University of Nottingham for four and half years. The concept of SCORE Stove is to generate electricity from a cooking stove using a well-known thermo- acoustic principle. During my time on the SCORE project, I was responsible for the design of the SCORE alternator and evaluating the SCORE engine performance, also assisting the exploitation of the SCORE research results in UK and aboard. During 2013-2015, I was successful in obtaining a £136,000 TSB funded energy harvesting (REGAH-E10305) research project collaboration with Piezotag ((www.piezotag.com) and Severn Trent (www.stwater.co.uk) for two years. I was working as a co-investigator/academic leader on the energy harvesting project. The idea of the project is the delivery of working prototype Power Harvesting & Power management system capable of powering Severn Trent Water’s remote water pressure and flow rate sensor & data loggers at a lower overall cost than the battery powered. A test rig has been set up in John Laing building and this project will develop Coventry University’s relationship with a large locally based business leading to links that could generate far more academically important projects well into future. The project was successfully delivered – work is currently ongoing. "
47,Christian von Ferber,https://scholar.google.co.uk/citations?hl=en&user=cS_DE88AAAAJ,"Complex Systems, Soft Matter","Faculty of Engineering, Environment & Computing","Faculty of Engineering, Environment & Computing",https://pureportal.coventry.ac.uk/en/persons/christian-von-ferber,None: None
48,Djordje Jakovljevic,https://scholar.google.co.uk/citations?hl=en&user=ifsD-rkAAAAJ,"Cardiovascular Ageing, Heart Failure, Pathophysiology, Exercise, Clinical Research","Faculty Research Centre for Sport, Exercise and Life Sciences",Faculty of Health & Life Sciences,https://pureportal.coventry.ac.uk/en/persons/dorde-jakovljevic,"Research Interests: Development, evaluation and implementation of novel interventions and technologies to improve prevention, diagnosis and management of cardiovascular diseases. Our research has particularly focused on heart failure, from improving diagnosis and rehabilitation, to treatment and recovery of advanced heart failure using mechanical circulatory support. The research has further improved understanding of cardiovascular physiological and molecular changes with ageing and their malleability with lifestyle (physical activity and exercise) and pharmacological interventions to prevent onset of cardiovascular and metabolic diseases.   "
49,Maureen Meadows,https://scholar.google.co.uk/citations?hl=en&user=dV8uHkYAAAAJ,strategy,Faculty Research Centre for Business in Society,Faculty of Business & Law,https://pureportal.coventry.ac.uk/en/persons/maureen-meadows,"Biography: Maureen Meadows is Professor of Strategic Management at the Centre for Business in Society (CBiS) at Coventry University. Maureen spent ten years at the Open University Business School, including five years as Head of Department for Strategy and Marketing, OUBS, and leader of the MBA module in strategic management. She was previously at Warwick Business School for thirteen years, where she directed the MSc in Management Science and Operational Research for five years.
Formerly Chair of the Special Interest Group in Strategy at the British Academy of Management (BAM), Maureen is now a member of BAM Council. With a background in mathematics, statistics and operational research, Maureen has over 20 years’ experience of working with customer data and analytics, both as a practitioner in the financial services sector and an academic. She has published on the progress and problems experienced by organisations working on strategic projects such as market segmentation, relationship marketing and customer relationship management.
She was a co-investigator on the Leverhulme-funded Project 'Taking Liberties?' concerning public/private blurring in the surveillance society, and she is currently a co-investigator on an EPSRC-funded project ‘Monetize Me? Privacy and the Quantified Self in the Digital Economy’."
50,Hazel Barrett,https://scholar.google.co.uk/citations?hl=en&user=Us5EoOAAAAAJ,Geography FGM Africa HIV/AIDS,,,https://pureportal.coventry.ac.uk/en/persons/hazel-barrett,"Research Interests: FGM; community based-research in African Diaspora EU.HIV/AIDS; Development Geography; Participatory Research Methods; Gender, Human development and Health issues in Africa; Marketing, Agricultural Systems and Rural Development in Africa"
51,Gemma Pearce,https://scholar.google.co.uk/citations?hl=en&user=wjcSPk0AAAAJ,,"School of Psychological, Social and Behavioural Sciences",Faculty of Health & Life Sciences,https://pureportal.coventry.ac.uk/en/persons/gemma-pearce,Research Interests: Self-Management Support ; Long-Term Conditions ; Co-creation ; Systematic Reviewing ; Patient Involvement ; Implementaion ; Impact; hypermobility; Ehlers-Danlos Syndrome; Postural Orthostatic Tachycardia Syndrome; Physical Activity
52,Jennifer Greaves,https://scholar.google.co.uk/citations?hl=en&user=HP4WbRUAAAAJ,,"Faculty Research Centre for Sport, Exercise and Life Sciences",Faculty of Health & Life Sciences,https://pureportal.coventry.ac.uk/en/persons/jennifer-greaves,None: None
53,Miguel Farias,https://scholar.google.co.uk/citations?hl=en&user=zVGKujoAAAAJ,"psychology of belief, experimental psychology, meditation, spirituality, religion",,,https://pureportal.coventry.ac.uk/en/persons/miguel-farias,Research Interests: Social cognition; Psychology of belief; Personality and mental health
54,Andreas Walmsley,https://scholar.google.co.uk/citations?hl=en&user=Hmrca34AAAAJ,"Entrepreneurship, Tourism",International Centre for Transformational Entrepreneurship,Faculty of Business & Law,https://pureportal.coventry.ac.uk/en/persons/andreas-walmsley,Education/Academic qualification: None
55,Professor Jane Coad,https://scholar.google.co.uk/citations?hl=en&user=O4KYzo4AAAAJ,"Children and Family Nursing, Complex and Palliative Care, Involvement and Participation, E-Learning Technologies",,,,
56,Prof. Ahmed A. El-Masry,https://scholar.google.co.uk/citations?hl=en&user=UoSj6_gAAAAJ,"Corporate Finance, Corporate Governance, International Finance, and Islamic Finance",,,,
57,Sebastien Farnaud,https://scholar.google.co.uk/citations?hl=en&user=Ut6OSSsAAAAJ,"Biomedical Sciences, Biotechnology, Iron, Nanoparticles","Faculty Research Centre for Sport, Exercise and Life Sciences",Faculty of Health & Life Sciences,https://pureportal.coventry.ac.uk/en/persons/sebastien-farnaud,Education/Academic qualification: None
58,Sheena Gardner,https://scholar.google.co.uk/citations?hl=en&user=6IqlMNsAAAAJ,"Applied Linguistics, Corpus Linguistics, Systemic Functional Linguistics, English for Academic Purposes","Faculty Research Centre for Arts, Memory and Communities",Faculty of Arts & Humanities,https://pureportal.coventry.ac.uk/en/persons/sheena-gardner,"Biography: 
Sheena joined Coventry University as Head of English and Languages in 2011 from the University of Birmingham, where she was Reader in Educational Linguistics and member of the MOSAIC Centre for Research on Multilingualism. Prior to that she was in CELTE, now the Centre for Applied Linguistics, at Warwick University.
Sheena has a background in Functional Linguistics, English Language Teaching (Germany, Sudan, Ukraine), EFL, ESL and EAL Teacher Education and Applied Linguistics (Canada and UK), with experience in Malaysia, Botswana, Pakistan, and China. She enjoys teaching grammar, academic English and genre analysis, and has been involved in the development of national and international pre-university, undergraduate, postgraduate and workplace programmes.
Her more than 70 publications include teaching materials, and internationally refereed journal articles in journals such as Applied Linguistics, TESOL Quarterly, Language and Education, Language Awareness, Language Teaching Research, English Language Teaching Journal, TESL Canada Journal, Journal of English for Academic Purposes and the International Journal of Bilingual Education and Bilingualism.
"
59,Mike Blundell,https://scholar.google.co.uk/citations?hl=en&user=_HnhZWAAAAAJ,,,,https://pureportal.coventry.ac.uk/en/persons/mike-blundell,Research Interests: Vehicle Crash Analysis; Helicopter Crash Simulation; Vehicle Dynamics and Safety; Pedestrian Impact Protection; Tyre Modelling and Behaviour; Low Carbon Vehicle Engineering; Vehicle Handling and Braking Computer Simulation
60,Ramzy Abdel-Gayed,https://scholar.google.co.uk/citations?hl=en&user=q3SK64UAAAAJ,"Turbulent Combustion, Internal Combustion Engines",,,,
61,Ashish Shukla,https://scholar.google.co.uk/citations?hl=en&user=6JE2mQsAAAAJ,"Energy Efficiency, Solar Engineering, CFD, Energy Management",Faculty Research Centre for Built & Natural Environment,"Faculty of Engineering, Environment & Computing",https://pureportal.coventry.ac.uk/en/persons/ashish-shukla,Research Interests: Energy management; Energy-exergy analysis; Ground heat exchangers; Solar thermal engineering; Thermal/mathematical modelling; Energy generating building envelopes
62,Keith Popplewell,https://scholar.google.co.uk/citations?hl=en&user=rggwCYMAAAAJ,"Intelligent ICT applications in manufacturing, management and enterprise collaboration, Intelligent knowledge oriented support f",,,,
63,Shuli Liu,https://scholar.google.co.uk/citations?hl=en&user=K6bGCG4AAAAJ,•Theory and Technology of Low Energy Methodologies,Faculty Research Centre for Built & Natural Environment,"Faculty of Engineering, Environment & Computing",https://pureportal.coventry.ac.uk/en/persons/shuli-liu,"Biography: 
Professor Shuli Liu is in the School of Energy, Construction and Environment, with 15 years research experience in the areas of low carbon cities and low impact buildings including building services and energy efficient technologies. Shuli has been involved in 12 research projects funded by EPSRC, KTP, China Natural Science Research Council and industry partners such as Tata Steel, Triton Shower and Orbit House Group, etc. She has been awarded more than £1.7 million of funding such as an EPSRC smart meter and sensors system for domestic houses, a KTP on low carbon energy models in social housing extensively using novel and sustainable technologies, solar ventilation system, free cooling and heating technologies, etc. Shuli has over 50 journal and conference publications. Within her research group, there are 5 PhD students completed, 3 research assistant finished, and currently another 2 PhD students, 2 Research assistants and one research fellow. Shuli has been active in different kinds of academic roles, such as journal editor, peer reviewer for more than 10 quality journals, external examiner for PhD examination (national and international), Research Council peer reviewer, member of professional institutes, chairing international conferences and has also been invited for keynote speeches.

Area of Expertise:
Building TechnologyBuilding Service EngineeringPCM energy StorageSolar energy coolingSmart meter and sensorsHeat and Mass transfer"
